title,synopsis,type_,episodes,rating
N.G!,"Collection of oneshots : 1) The first one-shot in this manga features a theme park, cross-dressing and mistaken identities! What's not to love? High school student Rin ends up posing as his twin siste...",Manga,1,-
N.Y. Komachi,"The story is set in the Meiji Times, Japan's opening door to the world. Shino has been brought up as the inheritor of an old and famous comestic shop in Tokyo -- since her father doesn't have a son, i...",Manga,8,-
Na mo Naki Hana wo Mederu Hi ni,,One-shot,-,-
Na mo Naki Tori no Tobu Yoake,"Part of the angelic bureaucracy, Karasu is sent to earth to retrieve a demon living among humans. However, he's surprised to discover that Shirasagi only wants to throw away his heritage and his power...",Manga,3,7.65
Na no Nai Shisha,"A boy who knows a persons' ""time until death"" and has the special ability to give away life; an existence known as Shisha (Messenger). This nameless boy meets a human girl, Kumi, who gives him the nam...",Light Novel,1,-
Na*Na*Ki!!,"The youngest of seven sisters, Nanaki's goal is to ""grow another 20cm and become an adult."" Now she's a senior in high school and still baffles her friends with her childish ways. But simple sincerity...",Manga,3,-
Naa-tan to Goshujin-tama,The main character is on his way home after being dumped by his cheating girlfriend when he finds and picks up an abandoned girl cosplaying in a high school uniform.,One-shot,-,5.47
Nabari no Ou,"All Miharu Rokujou wishes for is a simple life. Unfortunately, he soon learns that he is in possession of a sacred and secret ninja art, the ""Shinra Banshou."" With this ability, Miharu is more likely...",Manga,14,7.98
Nabari no Ou dj - Osanagokoro no Niwa,"Set between chapter 56 and chapter 57 of Nabari no Ou. Miharu asks Yukimi where his childhood self has gone to. He sets off to the abandoned train while thinking about it, and gets off at the Garden o...",Doujinshi,1,-
Naberius Fuuin Bijutsukan no Collector,,Light Novel,-,-
Nabi,The series begins as a guest visits a temple where Myo-Un and Ryu-Sang are living along with many other orphan children. This guest turns out to be an assassin who came to kill a certain someone who i...,Manhwa,-,7.31
Nabi: The Prototype,"A collection of one-shots, mostly centering around a rough boy, a girl who he is close to, and what happens as they grow up.",Manhwa,1,7.07
Naburaretai Watashitachi,,Manga,1,-
Naburi: Do S Joshikousei ni Rinkansareru Boku,"Included one-shots: Shiorenai Hana (A Flower that Cannot Wither), After School",Manga,1,6.64
nacuN,Near future. A world renowned mathematician/physicist Francis Dullam loses his left brain hemisphere and retires from the hard science to study dolphins. Several years later he comes up with the new t...,Manga,6,6.88
Nade Pro!!,"This manga chronicles the lives of voice actors from Nadeshiko Productions, or Nade Pro for short.",Manga,4,-
Nade² Shiko²,"1. Wanwan Panic 2. Idol Power Up Up 3. A Tale of Lost Items 4. Flying Summer 5. Passed Out Drunk Game 6. Love Study 7. After School Sketch 8, 11. Toxic Sex Potion! 9. Incognito Sex 10. White Lovers",Manga,1,-
Nadenade Shikoshiko.,"The main character ""Totoki"" is an ordinary high school student who leads a mundane school life. One day, a mysterious, primitive girl, ""Cherry"" appears before Totoki! Whatever Cherry does is a mammoth...",Manga,1,6.56
Nadeshiko Club,"Reo-chan, a first year girl, gets dumped by her boyfriend because she's not skilled in the home economic traits women should possess in his mind. Her ex tells her that she must apply to a ""housework""...",Manga,7,7.35
Nadeshiko Doremisora,"Miya Nekoma made a bold high school debut in an attempt to change from her once ""infamously"" boring self. As a part of the change, she decided to join the school's Light Music Club, but on her way to...",Manga,5,-
Nadeshiko no Kiseki - Kawasumi Nahomi Monogatari,"Manga of the life of Nahomi Kawasumi, the 26-year-old goal-scoring member of Japan's World Cup-winning women's soccer team.",Manga,1,-
Nadeshiko Prima,"A collection of short stories, including: Nadeshiko Prima Ningyo Ichya Pure♥Drop Honey Koisuru Kimochi Utaekata",Manga,1,-
Nadeshiko Ryou e Irasshai♥,,Light Novel,1,-
Nadeshiko!,,Manga,2,-
Nadeshiko♡Swim,Included one-shot: Asa made Issho,Manga,1,-
Nae ga Yuru,"The Tokyo area has been hit by a gigantic earthquake. In the midst of this chaos, Akito and Yumi meet and together they start traveling through the city in order to survive.",Manga,2,6.82
Nae-soong 9th grade Project,"Who would have thought that Jung areum, the beauty queen of school had a sister with no other hobby than stealing people's food?? Well this girl is no other than Jung Daum, whose number one fan of her...",Manhwa,8,7.05
Nagagutsu wo Haita Neko,"Based on the fairy tale by Charles Perrault, this is the story of the magical cat Pero, who helps the poor miller's son Pierre defeat an ogre and rescue a princess.",Manga,1,-
Nagai Aida Kimi wo Mite Ita,This volume include stories of two couples.,Manga,1,-
Nagai Go Ecchi Manga Selection,n/a,Manga,3,-
Nagai Michi,"A worthless husband and his carefree wife. 54 short stories of their heartwarming, funny, and sad life. Winner of the Tezuka Osamu Cultural Prize and Japan Media Arts Festival grand prize Kono Fumiyo...",Manga,1,6.75
Nagai Yakusoku,,Light Novel,1,-
Nagaki Seisen no Ato ni,,Light Novel,-,-
Nagaraja,"From the village of Go, a shaman tries to summon the serpent king to bring the rainfall, while at that same moment... his brother is kidnapped and imprisoned! To save his brother, he and the serpent k...",Manga,1,6.94
Nagareboshi Lens,"Risa is a high school student who has zero experience in love, but hopes to one day find that special someone. After an unexpected event, Risa now finds herself entangled with the most popular boy in...",Manga,10,7.68
Nagareboshi ni Negau hodo Bokura wa Sunao ja Nai,,Manga,2,6.38
Nagareboshi Paradise,1. Nagareboshi Paradise 2. Youki na Blue Canary 3. Tsuki no Bench de Matteiru kara 4. Bara to Bara no Hibi,Manga,1,-
"Nagareboshi, Okkochita","A boy makes a wish to find someone who loves him... But a shooting star falls in front of him?! Well, that's what he thinks.",One-shot,-,-
Nagaruru Rururuko,"Rururuko is a human orphan lost in space. She is raised on board a space ship operated by the spacefaring Saurus race, but she dreams of someday returning home to earth. Before she gets there, she and...",Manga,1,-
Nagasarete Airantou,"Ikuto Touhouin is a 14-year-old boy, who had a fight with his father and ran away from home. He later boards a ship overseas, but a huge storm hits and sinks the ship. After spending a week drifting i...",Manga,-,7.57
Nagata-sensei wa Oyobigoshi,1-2. Nagata-sensei wa Oyobigoshi 3. Ihara-kun wa Yokubou ni Chuujitsu 4. Ienai no ni wa Wake ga Aru 5. Koi ni Ochiru mo no Shouganai 6. Nagata-sensei wa Shinpaishou,Manga,1,-
Nagatachou Icchoume Nanabanchi,,Manga,5,-
Nagatachou ni Koi no Amefuru,"This volume contains 4 one-shots by author Hasebe Yuri. Nagatachou ni Koi no Ame Furu: Takasugi Masaomi is a young, promising member of Parliament, but his handsome face and playboy behavior greatly a...",Manga,1,-
Nagatachou Strawberry,"Ichinose Hime is the daughter of the Prime Minister of Japan, and because of this, she has been unable to lead a normal school life. Hoping to hide her title and lead a normal high school life and get...",Manga,5,7.48
Nagatan to Ao to: Ichika no Ryourichou,,Manga,-,-
Nagato Yuki-chan no Shoushitsu,"Yuki Nagato, the shy president of the literature club, has never been very sure of herself around other people. But around Kyon, the only boy in the tiny, three-person club, Yuki finds herself falteri...",Manga,10,7.56
Nagato Yuki-chan no Shoushitsu: Toaru Ichinichi,A collection of short stories based on the Nagato Yuki-chan no Shoushitsu manga series.,Light Novel,1,-
P Angel,"Contains a oneshot called Mirai ni Kiss - Meiko, a 14 year old Robotics genius, travels a hundred years forward in time. However, the future is completely different from her sweet daydreams.",Manga,2,-
P no Higeki,"A sophisticated collection of tales, ranging from the macabre to heartwarming to wacky. The trials and tribulations of daily life. 1. P no Higeki (The Tragedy of P) 2. Roman no Akindo (The Merchant of...",Manga,1,7.06
P Souken,Meet Yui and Ryouko and the rest of the employees from the Penis Research Institute—an organization that offers women the joy and pleasure of 'both' worlds.,Manga,1,6.96
P to JK,"Kako, a 16-year-old high school girl, goes to a mixer pretending to be 22. While there, she meets Kouta who at first has a very intimidating aura. But once he saves her from an awkward situation, she...",Manga,-,7.51
P-pan Kuru,"Megu is in love with Funaki-senpai, the object of admiration of all the girls in school. However, she can only look at him from afar. One day, Megu happened to pick up Funaki-senpai's underwear!!! Wil...",One-shot,-,6.53
P. P. Scramble,"From: Ultimate Manga Guide] Haruhi has fallen for Kei at first sight and they start living together! But after several callers drop by Haruhi's house and interfere with her love life, the consequences...",Manga,3,-
P.B.B.: Play Boy Blues,"At Japan's most popular Host Club comes naturally for Junsuke Aki. In fact, he is the club's top performer (and earner!) and is easily the most popular Host with the female clientele. However, his lov...",Manga,6,7.31
P.D. Agency no Hokokusho,"Ichinose Kaname, 22 years old and graduating Psychology, makes her brother’s detective agency her preferred career choice. But that’s a world of sly dogs and old troopers. Will the newbie female detec...",Manga,3,-
P.I.P.,Adapted from Sawai Kujira’s story about a Japanese man arrested in Cambodia. (Source: MU),Manga,1,-
P.S. Lovin' Song,A collection of short stories.,Manga,1,-
P.S. Three-san,P.S. Three-san (amazon) is a manga by IKa which was originally posted online as a web comic but was recently published and sold in a book. The story is about this girl called PS3-san who is trying to...,Manga,-,-
P.S.Restart,"Wealthy girl Shirasagi Chihana woke one day to an empty house. Her father's company had gone under, and her parents had gone off traveling. They left Chihana all on her own to make her way to the boar...",Manga,2,-
P2 - Let's Play Ping Pong!,"Hiromu is a boy who is terrible at every sport because he is weak, slow and untalented. He failed to get into any sport clubs, however he stumbled upon the ping pong club and surprisingly, he seemed t...",Manga,7,6.98
P=NP?,Eriko wonders if Shino is just going out with her so that Eriko will do her homework for her. (Source: MU),One-shot,-,6.22
Pa-peki! Oneesan, ,Manga,1,-
Pachinko Tenin A wa Idol ni Narenai,,Manga,2,-
Paco-Paco,4. A Female Teacher's Sigh 5. Wakazuma no Yuutsu 6-8. Two Sisters And One Boy Vol. 1-3,Manga,1,-
Pact,"A terrorist group has declared independence on the South Pole, and they have placed extremely powerful nitrogen bombs off many coasts. They plan to take revenge on the world, by forcing them to live b...",Manga,5,-
Paff Paff!,"Collection of short stories: 1. Anniversary 2. Zero 3. If You Want To Build A Beautiful Japan, Then First Clean Up The Thrash (Fragmented Love) Ryou is trying his hardest to study for his upcoming exa...",Manga,1,6.89
Pahanjip,"""A grudge is a sentiment that is chained down and cannot move. That fixed sentiment becomes sadness, and when that sadness remains chained with no escape…it becomes hostile…” Baek-On and Ho-Yeon are e...",Manhwa,6,7.04
Pai Colle,1. Tomato 2. Momo Supplement 3. Ure-tsun! 4. Dental Oneesan (Miss Dentist) 5. Love Assistant 6. You and Alcohol Sex 7-9. Sweet Home 10. Oppai Collection,Manga,1,-
Pai Fella Lady,1-2. Gakuen Heaven 3. Doutei Sotsugyou Ryokou: Japan kara Kimashita (Virginity Graduation Trip) 4. Oshaburi Waisetsu Yuugi (Playful Obscene Sucking) 5. Yuusei yori no Oppai X (The Tits From Planet X)...,Manga,1,6.93
Pai Koki: Kanojo no Mune wa Chichi Onaho,1-2. Basin 3. Double Feeding 4. Natsu wo Torimodose! 5. Naka ni Goannai 6. Kanojo no Fuman 7. Sono Amasa ni wa Wake ga Aru. 8. Jouzu ni Yakemashita 9. Ninja Revenge,Manga,1,-
Pai Long,"A unique take on the anit-hero theme, ""White Dragon""'s main character is Tatsuto Shriakawa: a pragmatic, cold, nearly-emotionless, independent witness protection agent-thing. Anyway, his life is prett...",Manga,3,6.97
Pai Touch!,"This is a story of a boy who gets power of making girls' breasts big. There is a rumor spreading among people in the town that if a girl touches a special statue enshrined in Yachigusa Shrine, her bre...",Light Novel,1,-
Pai x 3! Osananajimi wa Kyonyuu Sanshimai,,Light Novel,1,-
Pai-Communication♡,1-3. Aneimo♡Complex 4. Awahime♡Tenshi 5. Jimi Ko ga Mizugi ni Kigaetara♡ 6. Lucky H! Suimin Gakushuu♡ 7. Pipe Mash♡Naomi-chan♡ 8. Eroero♡Chintama-matsuri 9. Yurina no Yuuwaku Daisakusen♡ 10. Momoko no...,Manga,1,-
Pai-Lolis,,Doujinshi,4,-
Pai-Nuki,"Series of 9 one shots titles are Never Honest Brainiac Home Tutor Captivating Exhi-Vision My Little Virgin I'll Love You More Than Now Unforgettable Day Between Four-Eyes' Tits From China, With Love T...",Manga,1,-
